Afrikaans	aluminium	Noun	# [[#English|aluminium]]
Afrikaans	amptelik	Adjective	# [[official]]
Afrikaans	anatomie	Noun	# [[anatomy]]
Afrikaans	antwoord	Noun	# [[answer]]
Afrikaans	antwoord	Verb	# to [[answer]]
Afrikaans	antwoorde	Noun	# {{plural of|antwoord|lang=af}}
Afrikaans	apartheid	Noun	# [[#English|apartheid]]
Afrikaans	appel	Noun	# [[apple]]
Afrikaans	appels	Noun	# {{plural of|appel|lang=af}}
Afrikaans	appèl	Noun	# {{context|legal|lang=af}} [[appeal]]
Afrikaans	appèl	Noun	# {{context|military|lang=af}} [[roll call]]
Afrikaans	apteek	Noun	# [[pharmacy]]; [[chemist]]
Afrikaans	area	Noun	# {{l/en|area}}
Afrikaans	arend	Noun	# [[eagle]]
Afrikaans	argitek	Noun	# [[architect]]
Afrikaans	argitekte	Noun	# {{plural of|argitek|lang=af}}
Afrikaans	argitektuur	Noun	# [[architecture]]
Afrikaans	argon	Noun	# [[#English|argon]]
Afrikaans	arm	Noun	# {{l/en|arm}}
Afrikaans	arms	Noun	# {{plural of|arm|lang=af}}
Afrikaans	arseen	Noun	# [[arsenic]]
Afrikaans	as't ware	Adverb	# [[as it were]]
Afrikaans	asem	Noun	# [[breath]]
Afrikaans	asem	Verb	# to [[breathe]]
Afrikaans	asemhaal	Verb	# to [[breathe]]
Afrikaans	asof	Conjunction	# [[as if]]
Afrikaans	asof	Conjunction	# [[like]]
Afrikaans	asseblief	Interjection	# [[please]]
Afrikaans	astronomie	Noun	# [[astronomy]]
Afrikaans	atome	Noun	# {{plural of|atoom|lang=af}}
Afrikaans	atoom	Noun	# An [[atom]]
Afrikaans	baba	Noun	# [[baby]]
Afrikaans	baba	Verb	# to [[treat]] with [[gentle]] [[care]], to [[coddle]]
Afrikaans	babas	Noun	# {{plural of|baba|lang=af}}
Afrikaans	baie	Adverb	# [[very]], [[much]]
Afrikaans	baie	Numeral	# [[many]], [[much]]
Afrikaans	baie dankie	Interjection	# [[thanks a lot]]; [[thank you very much]]
Afrikaans	bang	Adjective	# [[afraid]]
Afrikaans	bangheid	Noun	# [[fear]]
Afrikaans	baseer	Verb	# to [[base]]
Afrikaans	beampte	Noun	# [[official]], [[civil servant]]
Afrikaans	bed	Noun	# {{l/en|bed}}
Afrikaans	beddens	Noun	# {{plural of|bed|lang=af}}
Afrikaans	bedel	Verb	# To [[beg]]
Afrikaans	bedoeling	Noun	# {{l/en|intention}}
Afrikaans	bedoelings	Noun	# {{plural of|bedoeling|lang=af}}
Afrikaans	beef	Verb	# {{alternative form of|bewe|lang=af}}
Afrikaans	beeld	Noun	# [[image]], [[picture]]
Afrikaans	beer	Noun	# [[bear]]
Afrikaans	bees	Noun	# [[cow#English|cow]], [[ox#English|ox]]
Afrikaans	bees	Noun	# [[brute#English|brute]]
